transition_index,x_start,x_end,D_T,u
368,0.092,0.09225,0.022524632080288782,0.7814996753276634
369,0.09225,0.0925,0.02243624398859349,0.7784330207995679
370,0.0925,0.09275,0.022347257228859503,0.7753455952827965
371,0.09275,0.093,0.022257758291521476,0.7722403995920288
372,0.093,0.09325,0.022167834778637926,0.769120473110108
373,0.09325,0.0935,0.02207757535130796,0.7659888919636458
374,0.0935,0.09375,0.021987069673263335,0.7628487670659309
375,0.09375,0.094,0.021896408350435548,0.7597032420201879
376,0.094,0.09425,0.02180568286633146,0.7565554908774141
377,0.09425,0.0945,0.021714985513030336,0.7534087157422973
378,0.0945,0.09475,0.02162440931762453,0.7502661442210516
379,0.09475,0.095,0.021534047963953216,0.7471310267059426
380,0.095,0.09525,0.021443995709468137,0.7440066334909166
381,0.09525,0.0955,0.02135434729708421,0.7408962517132275
382,0.0955,0.09575,0.02126519786190856,0.7378031821173702
383,0.09575,0.096,0.02117664283272914,0.7347307356371939
384,0.096,0.09625,0.021088777828180347,0.7316822297933343
385,0.09625,0.0965,0.02100169854752947,0.7286609849040125
386,0.0965,0.09675,0.020915500656051352,0.72567032010807
387,0.09675,0.097,0.020830279664980692,0.7227135491998737
388,0.097,0.09725,0.02074613080609586,0.7197939762779596
389,0.09725,0.0975,0.020663148900974176,0.7169148912088003
390,0.0975,0.09775,0.020581428225056507,0.7140795649104806
391,0.09775,0.098,0.020501062366650797,0.7112912444607783
392,0.098,0.09825,0.020422144081097732,0.7085531480373918
393,0.09825,0.0985,0.02034476514031826,0.7058684596979417
394,0.0985,0.09875,0.02026901617806816,0.7032403240110257
395,0.09875,0.099,0.020194986531234613,0.7006718405499498
396,0.099,0.09925,0.020122764077584558,0.6981660582633535
397,0.09925,0.0995,0.02005243507042959,0.6957259697388524
398,0.0995,0.09975,0.019984083970718075,0.6933545053774175
399,0.09975,0.1,0.019917793277133524,0.691054527498582
400,0.1,0.10025,0.01985364335480717,0.6888288243975661
401,0.10025,0.1005,0.019791712263350546,0.6866801043788097
402,0.1005,0.10075,0.01973207558490349,0.68461098979004
403,0.10075,0.101,0.01967480625298695,0.6826240110842624
404,0.101,0.10125,0.019619974382975348,0.680721600937942
405,0.10125,0.1015,0.019567647105014407,0.6789060884540316
406,0.1015,0.10175000000000001,0.01951788840029373,0.6771796934813934
407,0.10175000000000001,0.10200000000000001,0.01947075894154259,0.6755445210807478
408,0.10200000000000001,0.10225000000000001,0.019426315938683797,0.6740025561695816
409,0.10225000000000001,0.10250000000000001,0.019384612990544156,0.672555658377193
410,0.10250000000000001,0.10275000000000001,0.01934569994356029,0.6712055571424423
411,0.10275000000000001,0.10300000000000001,0.019309622758355134,0.6699538470845792
412,0.10300000000000001,0.10325000000000001,0.01927642338508002,0.6688019836781937
413,0.10325000000000001,0.10350000000000001,0.019246139648366384,0.6677512792615774
414,0.10350000000000001,0.10375000000000001,0.019218805142667876,0.6668028994055832
415,0.10375000000000001,0.10400000000000001,0.019194449138770636,0.6659578596699673
416,0.10400000000000001,0.10425,0.019173096502131573,0.6652170227701086
417,0.10425,0.1045,0.019154767623668342,0.664581096175744
418,0.1045,0.10475,0.019139478363519973,0.6640506301597239
419,0.10475,0.105,0.01912724000824766,0.6636260163130796
420,0.105,0.10525,0.019118059241797235,0.6633074865375569
421,0.10525,0.1055,0.019111938130492875,0.663095112524967
422,0.1055,0.10575,0.019108874122210674,0.6629888057285138
423,0.10575,0.106,0.019108860059766846,0.6629883178273022
424,0.106,0.10625,0.01911188420847241,0.6630932416823563
425,0.10625,0.1065,0.01911793029767508,0.6633030127779306
426,0.1065,0.10675,0.019126977576034706,0.6636169111393087
427,0.10675,0.107,0.01913900088015576,0.6640340637140312
428,0.107,0.10725,0.019153970716114174,0.6645534472004965
429,0.10725,0.1075,0.019171853353329327,0.6651738913048809
430,0.1075,0.10775,0.019192610930153103,0.6658940824045866
431,0.10775,0.108,0.019216201570472966,0.6667125675938244
432,0.108,0.10825,0.01924257951054931,0.6676277590842778
433,0.10825,0.1085,0.019271695235278222,0.6686379389327862
434,0.1085,0.10875,0.019303495623005307,0.6697412640657086
435,0.10875,0.109,0.019337924097988613,0.6709357715686757
436,0.109,0.10925,0.019374920789592864,0.6722193842098882
437,0.10925,0.1095,0.019414422697272886,0.6735899161642714
438,0.1095,0.10975,0.019456363860390374,0.6750450789053253
439,0.10975,0.11,0.01950067553195446,0.6765824872331117
440,0.11,0.11025,0.019547286355342034,0.6781996654056253
441,0.11025,0.1105,0.019596122543101842,0.6798940533424621
442,0.1105,0.11075,0.01964710805698429,0.6816630128710137
443,0.11075,0.111,0.019700164788342873,0.6835038339855555
444,0.111,0.11125,0.019755212738138735,0.6854137410925651
445,0.11125,0.1115,0.0198121701957884,0.6873898992159049
446,0.1115,0.11175,0.01987095391617459,0.6894294201382716
447,0.11175,0.112,0.01993147929416121,0.6915293684560521
448,0.112,0.11225,0.019993660536052244,0.6936867675281478
449,0.11225,0.1125,0.020057410827455147,0.6958986053000513
