u_threshold,R_empirical,R_exponential,residual
0.38190954773869346,0.971,0.8169683765582948,0.15403162344170518
0.3869346733668342,0.971,0.8124011368376525,0.1585988631623475
0.3919597989949749,0.97,0.8078594301477422,0.16214056985225778
0.3969849246231156,0.97,0.8033431137468429,0.1666568862531571
0.4020100502512563,0.97,0.7988520456912274,0.1711479543087726
0.40703517587939697,0.969,0.7943860848307007,0.17461391516929925
0.4120603015075377,0.969,0.7899450908041645,0.17905490919583544
0.4170854271356784,0.968,0.7855289240352055,0.1824710759647945
0.4221105527638191,0.968,0.7811374457277083,0.1868625542722917
0.4271356783919598,0.968,0.7767705178614933,0.19122948213850666
0.4321608040201005,0.967,0.7724280031879799,0.1945719968120201
0.4371859296482412,0.967,0.7681097652258709,0.19889023477412904
0.44221105527638194,0.966,0.7638156682568648,0.20218433174313521
0.4472361809045226,0.966,0.7595455773213893,0.2064544226786107
0.45226130653266333,0.966,0.7552993582143599,0.21070064178564007
0.457286432160804,0.965,0.7510768774809627,0.21392312251903722
0.4623115577889447,0.965,0.7468780024124583,0.2181219975875417
0.46733668341708545,0.964,0.7427026010420127,0.22129739895798728
0.4723618090452261,0.964,0.7385505421405487,0.22544945785945125
0.47738693467336685,0.963,0.7344216952126218,0.22857830478737817
0.4824120603015075,0.963,0.7303159304923184,0.2326840695076816
0.48743718592964824,0.963,0.7262331189391783,0.23676688106082167
0.49246231155778897,0.962,0.7221731322341379,0.23982686776586204
0.49748743718592964,0.962,0.7181358427754987,0.24386415722450128
0.5025125628140703,0.961,0.7141211236749154,0.24687887632508454
0.507537688442211,0.961,0.7101288487534085,0.25087115124659143
0.5125628140703518,0.96,0.7061588925373992,0.2538411074626008
0.5175879396984925,0.96,0.7022111302547651,0.25778886974523485
0.5226130653266332,0.96,0.698285437830919,0.26171456216908096
0.5276381909547738,0.959,0.6943816918849096,0.26461830811509035
0.5326633165829145,0.959,0.6904997697255428,0.26850023027445713
0.5376884422110553,0.958,0.6866395493475268,0.27136045065247316
0.542713567839196,0.958,0.6828009094276374,0.2751990905723626
0.5477386934673367,0.957,0.6789837293209039,0.27801627067909607
0.5527638190954774,0.957,0.6751878890568187,0.28181211094318126
0.5577889447236181,0.956,0.6714132693355657,0.2845867306644343
0.5628140703517588,0.956,0.6676597515242715,0.2883402484757285
0.5678391959798995,0.956,0.6639272176532762,0.29207278234672374
0.5728643216080402,0.955,0.6602155504124264,0.29478444958757355
0.577889447236181,0.955,0.6565246331473881,0.2984753668526119
0.5829145728643216,0.948,0.6528543498559799,0.29514565014402006
0.5879396984924623,0.939,0.6492045851845274,0.28979541481547255
