x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.089,0.3902845934890548,0.750256111837196,1.0519558708782701,1.2719511048347474,1.393154969468302,1.406153662857724,1.3099375874528647,1.1119797646646836,0.8276554115963333,0.4790477609009474,0.15232206391491676,0.5628842333490671,1.1066111542752597,1.6178596130903344,1.9408807689542258,1.977268123568194,1.7159364830218315,1.2364989970237252,0.6850134803446958,0.22948675722421127
0.08925,0.39135205936902817,0.752138252391271,1.0541800061125883,1.2738868789999027,1.3940990510104345,1.4054275612457667,1.306987616278929,1.1064676953934902,0.819529055391151,0.4685825355918323,0.15315643437237936,0.5657119507101952,1.1112954852875367,1.6227877804881128,1.943512164028194,1.9752266299092234,1.7082166291064766,1.2242707609493815,0.6716278726303122,0.2195695926616708
0.0895,0.39241928384338837,0.7540185371189763,1.0563982889085732,1.2758100804158512,1.3950216338206176,1.4046702499099664,1.3039981406366372,1.1009119446722588,0.8113617516918809,0.45808840590470057,0.1539928943321578,0.568543954319041,1.1159773448089614,1.6276913612907007,1.9460853588275453,1.9730985109821273,1.7004111507838071,1.2120071099220546,0.6583078921085174,0.2098449876243097
0.08975,0.39348626625381794,0.7558969613808959,1.0586107069510957,1.2777206901013713,1.3959227036714836,1.4038817456676083,1.3009692508846467,1.095312731832515,0.8031539085751103,0.44756601916690414,0.1548314417303705,0.5713802162248717,1.1206566288714988,1.6325701619131245,1.9486001946255047,1.9708839558187312,1.6925209917473587,1.1997099805144071,0.6450562008594766,0.2003153415129096
0.09,0.39455300594214837,0.7577735205422049,1.060817247957585,1.279618689199517,1.3968022466674208,1.403062066028667,1.2979010385729297,1.0896702779215945,0.7949059361429643,0.4370160244488212,0.15567207449798498,0.5742207084349275,1.1253332335643045,1.63742398974869,1.9510565162951543,1.9685831611286315,1.6845471059286896,1.187381314585725,0.6318754473153225,0.1909830056250527
0.09025,0.395619502250361,0.7596482099726799,1.0630178996780981,1.281504058977803,1.3976602492447874,1.4022112291954145,1.2947935964400046,1.0839848056939156,0.7866182465026167,0.4264390725238211,0.1565147905608234,0.5770654029146968,1.130007055036035,1.6422526531765846,1.953454172319001,1.9661963312817152,1.6764904573820414,1.1750230589752761,0.6187682657308514,0.18185028257497676
0.0905,0.3966857545205874,0.7615210250467112,1.0652126498953873,1.2833767808283911,1.398496698172123,1.4013292540620172,1.2916470184101358,1.078256539602188,0.7782912537456974,0.41583581582812035,0.15735958783956774,0.5799142715881936,1.134677989497153,1.6470559615694442,1.95579301479833,1.9637236782900096,1.6683520201677937,1.1626371651948846,0.6057372756570496,0.17291942572543842
0.09075,0.39775176209510965,0.7633919611433138,1.0674014864249672,1.2852368362682727,1.3993115805503502,1.4004161602141172,1.2884613995904919,1.0724857057885469,0.7699253739276035,0.4052069084205377,0.1582064642497647,0.5827672863382347,1.1393459332222295,1.6518337253008788,1.9580728994623193,1.961165421788852,1.6601327782346893,1.1502255891207576,0.5927850814175601,0.16419263863173003
0.091,0.39881752431636064,0.7652610136461387,1.0695843971151842,1.2870842069394515,1.4001048838129746,1.3994719679283956,1.285236836268273,1.0666725320756314,0.7615210250467116,0.39455300594214876,0.1590554177018309,0.5856244190067158,1.1440107825522519,1.6565857557529566,1.960293685676943,1.9585217890173763,1.6518337253008792,1.1377902906846389,0.5799142715881943,0.15567207449798529
0.09125,0.3998830405269247,0.767128177943485,1.0717613698472823,1.2889188746091245,1.4008765957262788,1.3984966981721232,1.281973425907799,1.0608172479575853,0.7530786270234913,0.38387476557584266,0.1599064461010581,0.5884856413948911,1.148672433896923,1.6613118653236518,1.9624552364536478,1.9557930147983307,1.6434558647337791,1.125333233564305,0.5671274184795867,0.14735983564590815
