n,d,R_survie_empirique,R_survie_exponentielle
0,0.07559989208497224,0.7885,0.6007287179282006
0,0.07559989208497456,0.78825,0.6007287179281964
0,0.07559989208497625,0.78775,0.6007287179281933
0,0.07559989208497807,0.7875,0.60072871792819
0,0.07559989208497923,0.78725,0.6007287179281878
0,0.07559989208497941,0.787,0.6007287179281875
0,0.07559989208498273,0.7865,0.6007287179281815
0,0.07559989208498435,0.78625,0.6007287179281785
0,0.0755998920849871,0.786,0.6007287179281735
0,0.07559989208498986,0.7855,0.6007287179281684
0,0.07559989208499,0.78525,0.6007287179281682
0,0.07559989208499368,0.785,0.6007287179281615
0,0.07559989208499601,0.78475,0.6007287179281573
0,0.07559989208499619,0.7845,0.600728717928157
0,0.0755998920849977,0.784,0.6007287179281542
0,0.07559989208500299,0.78375,0.6007287179281445
0,0.0755998920850063,0.78325,0.6007287179281385
0,0.07559989208500678,0.783,0.6007287179281376
0,0.07559989208501047,0.78275,0.6007287179281309
0,0.07559989208501092,0.7825,0.6007287179281301
0,0.07559989208501575,0.782,0.6007287179281213
0,0.07559989208501869,0.78175,0.6007287179281159
0,0.07559989208501978,0.7815,0.6007287179281139
0,0.07559989208502611,0.781,0.6007287179281025
0,0.07559989208502771,0.78075,0.6007287179280995
0,0.07559989208503166,0.7805,0.6007287179280922
0,0.07559989208503547,0.78025,0.6007287179280854
0,0.0755998920850375,0.77975,0.6007287179280816
0,0.0755998920850376,0.7795,0.6007287179280815
0,0.07559989208504846,0.77925,0.6007287179280617
0,0.07559989208505,0.77875,0.6007287179280589
0,0.0755998920850544,0.7785,0.6007287179280508
0,0.0755998920850567,0.77825,0.6007287179280466
0,0.07559989208506039,0.778,0.60072871792804
0,0.07559989208506371,0.7775,0.6007287179280338
0,0.07559989208507349,0.77725,0.600728717928016
0,0.07559989208507718,0.777,0.6007287179280093
0,0.07559989208507875,0.7765,0.6007287179280064
0,0.07559989208508681,0.77625,0.6007287179279918
0,0.07559989208508786,0.776,0.6007287179279899
0,0.07559989208509525,0.7755,0.6007287179279763
0,0.0755998920851036,0.77525,0.6007287179279611
0,0.07559989208510463,0.775,0.6007287179279593
0,0.07559989208511338,0.7745,0.6007287179279434
0,0.0755998920851209,0.77425,0.6007287179279296
0,0.07559989208512306,0.774,0.6007287179279257
0,0.07559989208513322,0.7735,0.6007287179279072
0,0.07559989208513768,0.77325,0.600728717927899
0,0.07559989208513984,0.773,0.6007287179278952
0,0.075599892085155,0.7725,0.6007287179278674
0,0.07559989208516064,0.77225,0.6007287179278572
0,0.07559989208516667,0.772,0.6007287179278462
0,0.07559989208517742,0.77175,0.6007287179278266
0,0.07559989208517888,0.77125,0.6007287179278239
0,0.07559989208518346,0.771,0.6007287179278156
0,0.07559989208520504,0.7705,0.6007287179277763
0,0.07559989208520845,0.77025,0.60072871792777
0,0.07559989208521906,0.77,0.6007287179277506
0,0.07559989208522525,0.76975,0.6007287179277394
0,0.07559989208523375,0.76925,0.6007287179277239
0,0.07559989208523585,0.769,0.6007287179277201
0,0.0755998920852652,0.7685,0.6007287179276666
0,0.0755998920852659,0.76825,0.6007287179276654
0,0.07559989208528205,0.768,0.6007287179276359
0,0.07559989208528269,0.76775,0.6007287179276347
0,0.07559989208529883,0.7675,0.6007287179276053
0,0.07559989208529966,0.767,0.6007287179276037
0,0.07559989208533491,0.76675,0.6007287179275396
0,0.07559989208533743,0.76625,0.6007287179275349
0,0.0755998920853517,0.766,0.6007287179275089
0,0.07559989208535764,0.76575,0.600728717927498
0,0.07559989208537443,0.7655,0.6007287179274674
0,0.0755998920853788,0.765,0.6007287179274595
0,0.07559989208541774,0.76475,0.6007287179273885
0,0.07559989208542414,0.76425,0.6007287179273768
0,0.07559989208543454,0.764,0.6007287179273579
0,0.0755998920854484,0.76375,0.6007287179273326
0,0.07559989208546518,0.7635,0.600728717927302
0,0.07559989208547377,0.763,0.6007287179272864
0,0.07559989208551714,0.76275,0.6007287179272074
0,0.07559989208552816,0.76225,0.6007287179271873
0,0.07559989208553392,0.762,0.6007287179271767
0,0.07559989208555723,0.76175,0.6007287179271342
0,0.07559989208557402,0.7615,0.6007287179271037
0,0.07559989208558768,0.761,0.6007287179270788
0,0.07559989208563632,0.76075,0.6007287179269901
0,0.07559989208565285,0.76025,0.60072871792696
0,0.0755998920856531,0.76,0.6007287179269595
0,0.07559989208568772,0.7595,0.6007287179268964
0,0.07559989208572418,0.75925,0.60072871792683
0,0.07559989208574097,0.759,0.6007287179267994
0,0.07559989208577915,0.75875,0.6007287179267298
0,0.07559989208579593,0.7585,0.6007287179266992
0,0.07559989208580227,0.758,0.6007287179266876
0,0.07559989208584404,0.7575,0.6007287179266115
0,0.07559989208588776,0.75725,0.6007287179265318
0,0.07559989208590452,0.757,0.6007287179265013
0,0.07559989208595023,0.75675,0.6007287179264179
0,0.07559989208596701,0.7565,0.6007287179263874
0,0.07559989208598125,0.756,0.6007287179263614
0,0.07559989208603125,0.7555,0.6007287179262703
0,0.07559989208608354,0.75525,0.600728717926175
0,0.07559989208610034,0.755,0.6007287179261444
0,0.07559989208615506,0.75475,0.6007287179260445
0,0.07559989208617185,0.7545,0.600728717926014
0,0.07559989208619547,0.754,0.6007287179259709
