paire,index,temps,distance
2-3,4036,40.36,3.735801873828522
1-3,2439,24.39,3.870849786713153
1-2,2478,24.78,4.0190142355301575
1-3,3386,33.86,4.070267650281765
2-3,5078,50.78,4.096274574160178
1-3,5105,51.050000000000004,4.098857210769756
1-2,3353,33.53,4.168201802104193
2-3,4124,41.24,4.221571749175537
1-3,4094,40.94,4.225550320826697
1-3,5739,57.39,4.225676302245317
2-3,5727,57.27,4.277057986004156
1-3,2525,25.25,4.32823683781768
1-2,2567,25.67,4.425576026696829
1-3,3299,32.99,4.4819488307824065
2-3,4991,49.910000000000004,4.500865249236903
1-2,3265,32.65,4.5362986733400765
1-3,5021,50.21,4.53819343585223
2-3,4212,42.12,4.598234731248833
1-3,4179,41.79,4.637317142046048
1-3,2611,26.11,4.676158867741942
1-2,2655,26.55,4.7280036777928975
1-3,3213,32.13,4.790782302546614
1-2,3178,31.78,4.806869002809286
2-3,4904,49.04,4.810475768964916
1-3,5810,58.1,4.840253647488096
1-3,4936,49.36,4.880227282152394
2-3,4299,42.99,4.883440098566094
2-3,5796,57.96,4.907733661515337
1-3,2697,26.97,4.930442498640486
1-2,2743,27.43,4.939849324735723
1-3,4263,42.63,4.955389697267386
1-2,3091,30.91,4.990681822461791
1-3,3127,31.27,5.010053116573845
2-3,4818,48.18,5.036912959297524
1-2,2830,28.3,5.06899061478601
2-3,4385,43.85,5.087774080043967
1-2,3004,30.04,5.093944445786667
1-3,2783,27.830000000000002,5.100555188467028
1-2,2917,29.17,5.119814112907011
1-3,4852,48.52,5.137288827883692
1-3,3041,30.41,5.147507067788722
2-3,4731,47.31,5.18765714073861
1-3,2869,28.69,5.192019629292243
1-3,4347,43.47,5.192105906883258
1-3,2955,29.55,5.207542668925888
2-3,4472,44.72,5.217633035685397
2-3,4645,46.45,5.266885682791544
2-3,4559,45.59,5.276850414619729
1-3,4768,47.68,5.3186016976618395
1-3,4431,44.31,5.3546075232421595
1-3,5881,58.81,5.3989379565577025
1-3,4684,46.84,5.429161304744822
1-3,4515,45.15,5.447266660058635
2-3,5866,58.660000000000004,5.467168385573058
1-3,4600,46.0,5.471776578701011
1-3,5952,59.52,5.912577716856286
2-3,5935,59.35,5.993840922683419
1-3,6022,60.22,6.388451613264235
2-3,6005,60.050000000000004,6.47223920150705
1-3,6093,60.93,6.831959074224636
2-3,6074,60.74,6.923164347558577
1-3,6163,61.63,7.2470380166262
2-3,6144,61.44,7.34570376058106
1-3,6234,62.34,7.636843911556983
2-3,6213,62.13,7.736487978786224
1-3,6304,63.04,8.00372694635897
2-3,6283,62.83,8.116627568317382
1-3,6374,63.74,8.34979333232503
2-3,6352,63.52,8.45898876171423
1-3,6444,64.44,8.676683628729599
2-3,6421,64.21000000000001,8.80077702153685
1-3,6515,65.15,8.985768720561895
2-3,6491,64.91,9.10626390034495
1-3,6585,65.85,9.27818520688507
