time,energy,kinetic,potential,energy_rel_error,momentum_x,momentum_y,momentum_norm,angular_momentum_z,angular_rel_error
60.82,-1.8744562599993833,1.7069206917244952,-3.5813769517238785,2.4198127945665477e-07,-2.653433028854124e-14,6.5503158452884236e-15,2.7330885853452202e-14,-0.8365333322007348,1.3539192347215743e-09
60.83,-1.8744562599999437,1.4835373177627629,-3.3579935777627066,2.4198157844507633e-07,-2.6506574712925612e-14,6.716849298982197e-15,2.734436994185723e-14,-0.8365333322007787,1.3538666787384196e-09
60.84,-1.87445626000006,1.3019051133365904,-3.1763613733366505,2.419816405171575e-07,-2.6506574712925612e-14,6.6058269965196814e-15,2.7317310506707204e-14,-0.8365333322007333,1.3539209600442537e-09
60.85,-1.8744562600003178,1.1513077647908625,-3.0257640247911803,2.4198177804709306e-07,-2.6451063561694355e-14,6.439293542825908e-15,2.722357920765516e-14,-0.8365333322007547,1.3538954783554514e-09
60.86,-1.8744562600011854,1.0244890590934772,-2.8989453190946626,2.4198224086316403e-07,-2.6451063561694355e-14,6.6058269965196814e-15,2.7263450145804053e-14,-0.8365333322009518,1.3536597727340295e-09
60.870000000000005,-1.8744562600027863,0.9163504597545269,-2.790806719757313,2.4198309494657107e-07,-2.656208586415687e-14,6.38378239159465e-15,2.7318438518298885e-14,-0.8365333322011757,1.3533922150016048e-09
60.88,-1.8744562600013275,0.8231988946373078,-2.6976551546386354,2.419823166763929e-07,-2.6478819137309983e-14,6.6058269965196814e-15,2.7290379499272665e-14,-0.8365333322008397,1.3537938170345002e-09
60.89,-1.8744562600025882,0.7422905528646503,-2.6167468128672384,2.4198298928188324e-07,-2.6506574712925612e-14,6.6058269965196814e-15,2.7317310506707204e-14,-0.8365333322011521,1.3534203510329906e-09
60.9,-1.8744562600018244,0.6715426966259401,-2.5459989566277645,2.419825817857778e-07,-2.6478819137309983e-14,6.439293542825908e-15,2.7250547962142944e-14,-0.836533332201054,1.3535376729751848e-09
60.910000000000004,-1.8744562600015446,0.6093452179788003,-2.483801477980345,2.4198243252848337e-07,-2.6478819137309983e-14,6.494804694057166e-15,2.726371858203353e-14,-0.8365333322008153,1.3538230148029197e-09
60.92,-1.8744562600026808,0.5544337181022743,-2.428889978104955,2.419830386789402e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322012152,1.353344967703617e-09
60.93,-1.8744562600018875,0.50580180439847,-2.3802580644003575,2.4198261542789813e-07,-2.6506574712925612e-14,6.38378239159465e-15,2.726446736386283e-14,-0.8365333322008479,1.353783995966941e-09
60.94,-1.8744562600033368,0.4626391162925556,-2.3370953762958924,2.4198338860437496e-07,-2.653433028854124e-14,6.5503158452884236e-15,2.7330885853452202e-14,-0.8365333322016067,1.3528768743890029e-09
60.95,-1.8744562600025776,0.4242866627535976,-2.2987429227561753,2.419829835958911e-07,-2.6478819137309983e-14,6.494804694057166e-15,2.726371858203353e-14,-0.836533332201216,1.3533440386837127e-09
60.96,-1.8744562600030243,0.3902040735522482,-2.2646603335552724,2.419832219337295e-07,-2.6451063561694355e-14,6.328271240363392e-15,2.7197532616698986e-14,-0.8365333322009119,1.3537075509005339e-09
60.97,-1.8744562600047063,0.35994521647952005,-2.2344014764842264,2.4198411925436867e-07,-2.6451063561694355e-14,6.161737786669619e-15,2.7159266854914678e-14,-0.836533332201626,1.3528539143256548e-09
60.980000000000004,-1.8744562600025967,0.33313979840740127,-2.207596058409998,2.419829937832937e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322008655,1.3537630266605308e-09
60.99,-1.874456260003927,0.30947931850714583,-2.183935578511073,2.419837034661913e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322011232,1.3534548574865772e-09
61.0,-1.8744562600060488,0.28870623712672366,-2.1631624971327725,2.4198483545246564e-07,-2.6423307986078726e-14,6.2727600891321345e-15,2.7157664186431437e-14,-0.8365333322019846,1.3524252379984067e-09
61.01,-1.874456260000319,0.27060555604828973,-2.145061816048609,2.419817786393839e-07,-2.6451063561694355e-14,6.439293542825908e-15,2.722357920765516e-14,-0.8365333322009703,1.353637741690586e-09
61.02,-1.8744562600041803,0.25499823333826754,-2.1294544933424477,2.419838386269635e-07,-2.6423307986078726e-14,6.439293542825908e-15,2.7196612036388855e-14,-0.8365333322008695,1.3537582488438804e-09
61.03,-1.8744562600081995,0.24173601408781825,-2.1161922740960177,2.4198598283830204e-07,-2.6506574712925612e-14,6.6058269965196814e-15,2.7317310506707204e-14,-0.836533332202543,1.3517576708386365e-09
61.04,-1.8744562599982482,0.2306973707142927,-2.105153630712541,2.419806738984888e-07,-2.6451063561694355e-14,6.5503158452884236e-15,2.725005323330271e-14,-0.8365333322004893,1.354212672294189e-09
61.050000000000004,-1.874456260003913,0.22178432671762807,-2.096240586721541,2.419836960033266e-07,-2.6478819137309983e-14,6.494804694057166e-15,2.726371858203353e-14,-0.8365333322009396,1.3536743716182392e-09
61.06,-1.8744562600048895,0.21491999675414653,-2.089376256759036,2.4198421698235905e-07,-2.653433028854124e-14,6.38378239159465e-15,2.7291452168850067e-14,-0.8365333322011301,1.3534466290245681e-09
61.07,-1.8744562600083676,0.21004672026103866,-2.084502980269406,2.419860725111369e-07,-2.653433028854124e-14,6.217248937900877e-15,2.7252979070502122e-14,-0.8365333322019928,1.3524154169308475e-09
61.08,-1.874456259994504,0.2071246989179998,-2.081580958912504,2.419786764568231e-07,-2.6506574712925612e-14,6.439293542825908e-15,2.7277518295156306e-14,-0.8365333322001913,1.3545688850689055e-09
61.09,-1.8744562600061019,0.20613107504518885,-2.0805873350512907,2.419848637639683e-07,-2.653433028854124e-14,6.494804694057166e-15,2.7317634814810454e-14,-0.8365333322014459,1.3530691815091832e-09
61.1,-1.8744562600092913,0.20705940924559163,-2.081515669254883,2.4198656529712486e-07,-2.6506574712925612e-14,6.494804694057166e-15,2.7290675899029223e-14,-0.8365333322018762,1.3525547699164854e-09
61.11,-1.874456260031598,0.2099195342984755,-2.0843757943300734,2.4199846560490187e-07,-2.6506574712925612e-14,6.494804694057166e-15,2.7290675899029223e-14,-0.8365333322075393,1.3457850018741952e-09
61.120000000000005,-1.8744562599841166,0.21473777870518224,-2.089194038689299,2.4197313486516356e-07,-2.6478819137309983e-14,6.494804694057166e-15,2.726371858203353e-14,-0.8365333322000978,1.3546806328916742e-09
61.13,-1.8744562599707772,0.22155756998373244,-2.0960138299545097,2.419660184905895e-07,-2.6506574712925612e-14,6.5503158452884236e-15,2.730394002126697e-14,-0.8365333321996932,1.3551643868275316e-09
61.14,-1.87445626000421,0.23044044414464881,-2.104896704148859,2.419838545003583e-07,-2.6506574712925612e-14,6.494804694057166e-15,2.7290675899029223e-14,-0.8365333322009298,1.353686050725607e-09
61.15,-1.874456260008111,0.2414675074212344,-2.1159237674293454,2.4198593557349216e-07,-2.653433028854124e-14,6.5503158452884236e-15,2.7330885853452202e-14,-0.8365333322025863,1.3517059111582566e-09
61.160000000000004,-1.8744562600010335,0.25474141822683277,-2.1291976782278663,2.419821598377756e-07,-2.653433028854124e-14,6.6058269965196814e-15,2.734424316322076e-14,-0.8365333322012677,1.3532821925015153e-09
61.17,-1.874456260000475,0.2703889851286767,-2.1448452451291518,2.419818619154776e-07,-2.6506574712925612e-14,6.494804694057166e-15,2.7290675899029223e-14,-0.8365333322009423,1.353671186407139e-09
61.18,-1.8744562600055708,0.2885645119993457,-2.1630207720049164,2.419845804120252e-07,-2.6506574712925612e-14,6.439293542825908e-15,2.7277518295156306e-14,-0.8365333322008341,1.3538004528909592e-09
61.19,-1.8744562600150778,0.3094540684166188,-2.1839103284316965,2.4198965231703995e-07,-2.6506574712925612e-14,6.5503158452884236e-15,2.730394002126697e-14,-0.8365333322061127,1.347490416984145e-09
61.2,-1.8744562599961418,0.33328092582341107,-2.207737185819553,2.4197955020428636e-07,-2.653433028854124e-14,6.494804694057166e-15,2.7317634814810454e-14,-0.8365333322024835,1.3518288072198765e-09
61.21,-1.8744562599996428,0.36031248688071726,-2.23476874688036,2.419814179342557e-07,-2.653433028854124e-14,6.494804694057166e-15,2.7317634814810454e-14,-0.8365333322008159,1.3538222185001447e-09
61.22,-1.8744562600040187,0.39086915406206557,-2.2653254140660843,2.419837523894156e-07,-2.6506574712925612e-14,6.2727600891321345e-15,2.7238686131084158e-14,-0.8365333322025884,1.3517033895328024e-09
61.230000000000004,-1.8744562600066552,0.425335756581382,-2.2997920165880372,2.419851589617284e-07,-2.6506574712925612e-14,6.328271240363392e-15,2.7251523258407373e-14,-0.8365333322032266,1.3509405314742815e-09
61.24,-1.8744562599963657,0.4641763978570755,-2.338632657853441,2.419796696101219e-07,-2.6506574712925612e-14,6.439293542825908e-15,2.7277518295156306e-14,-0.8365333322008555,1.3537749712021569e-09
61.25,-1.8744562600013186,0.5079539479026329,-2.3824102079039515,2.4198231193806614e-07,-2.6478819137309983e-14,6.5503158452884236e-15,2.7276995812944835e-14,-0.8365333322023139,1.3520315989932619e-09
61.26,-1.874456260007093,0.5573559435922131,-2.431812203599306,2.4198539256124003e-07,-2.6478819137309983e-14,6.5503158452884236e-15,2.7276995812944835e-14,-0.8365333322034582,1.3506636835428142e-09
61.27,-1.874456259994373,0.6132294811159458,-2.487685741110319,2.4197860656650265e-07,-2.6478819137309983e-14,6.38378239159465e-15,2.7237484107927577e-14,-0.8365333322007711,1.353875836220333e-09
61.28,-1.8744562600033547,0.676628964836031,-2.551085224839386,2.4198339819948673e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322043726,1.3495704925497671e-09
61.29,-1.8744562599969516,0.7488826228593106,-2.6233388828562623,2.4197998222123303e-07,-2.6478819137309983e-14,6.2727600891321345e-15,2.7211677310342013e-14,-0.836533332202953,1.3512675464805786e-09
61.300000000000004,-1.8744562599965158,0.8316870530306878,-2.7061433130272037,2.4197974968784495e-07,-2.6423307986078726e-14,6.2727600891321345e-15,2.7157664186431437e-14,-0.8365333322030923,1.351100986483459e-09
61.31,-1.8744562599969978,0.9272447380726618,-2.8017009980696597,2.4198000686053245e-07,-2.6451063561694355e-14,6.217248937900877e-15,2.7171914689631725e-14,-0.8365333322032739,1.3508839939772513e-09
61.32,-1.8744562599944843,1.0384694074949812,-2.9129256674894655,2.4197866591404593e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322030827,1.3511125328736976e-09
61.33,-1.874456259982692,1.169302220556711,-3.043758480539403,2.419723748375436e-07,-2.6451063561694355e-14,6.439293542825908e-15,2.722357920765516e-14,-0.8365333322003711,1.3543540160367648e-09
61.34,-1.874456260002497,1.3252162608086595,-3.1996725208111565,2.419829405955753e-07,-2.6478819137309983e-14,6.217248937900877e-15,2.7198934671457318e-14,-0.8365333322037539,1.3503101251106814e-09
61.35,-1.8744562599876615,1.5140562459785407,-3.3885125059662022,2.419750260498506e-07,-2.6451063561694355e-14,6.38378239159465e-15,2.7210502405652652e-14,-0.8365333322018571,1.3525775972627042e-09
61.36,-1.874456259980449,1.747509143453604,-3.621965403434053,2.4197117829156656e-07,-2.6451063561694355e-14,6.439293542825908e-15,2.722357920765516e-14,-0.8365333322015296,1.3529691127937821e-09
