time,x_1,y_1,vx_1,vy_1,x_2,y_2,vx_2,vy_2,x_3,y_3,vx_3,vy_3
39.75,-1.3751707894427623,0.367217117509008,0.1316375991900856,0.6657970583238304,-0.9021473595106991,0.16278098848150388,-0.6027303381210612,-0.4075626344575382,2.2773181489528365,-0.5299981059903229,0.4710927389309573,-0.2582344238662888
39.76,-1.373678193347882,0.3737978577215046,0.16687765612592043,0.6501803542780877,-0.9083428499257465,0.1587807462245683,-0.6363651002890672,-0.3923149683572331,2.2820210432730037,-0.5325786039458839,0.4694874441631286,-0.2578653859208513
39.77,-1.3718332645658398,0.38021723123638745,0.20210922462866418,0.6335153991757355,-0.914874659655106,0.15493818680879748,-0.6699992891856705,-0.3760177504304302,2.2867079242203205,-0.5351554180449959,0.46789006455698806,-0.25749764874530195
39.78,-1.3696359365011894,0.3864644933341114,0.23736247301935864,0.6157484630627196,-0.9217429344466729,0.15126406784113125,-0.7036630727931511,-0.3586172753198963,2.291378870947237,-0.5377285611750536,0.4663005997737741,-0.2571311877428199
39.79,-1.3670858449812426,0.39252832196640397,0.2726667271302378,0.5968176657146572,-0.9289481176067427,0.14776972399527416,-0.7373857734783431,-0.3400516905868845,2.2960339625873596,-0.5402980459614891,0.4647190463480872,-0.25676597512776916
39.800000000000004,-1.3641823371426787,0.39839673171671464,0.3080503857236809,0.5766520464263444,-0.9364909410809508,0.14446715301975468,-0.7711957831679366,-0.32025006641467213,2.3006732782230035,-0.5428638847362802,0.46314539744423766,-0.25640198001166875
39.81,-1.3609244813686805,0.4040569775646138,0.34354077127207633,0.5551704439553784,-0.9443724154821846,0.1413691119429372,-0.805120413881267,-0.2991312754653929,2.305296896850239,-0.5454260895073618,0.46157964260917267,-0.25603916848998204
39.82,-1.3573110790738636,0.40949544641368946,0.37916389919138505,0.532280151734328,-0.952593818268228,0.13848922551542767,-0.8391856667109869,-0.27660264800480006,2.3099048973414655,-0.5479846719289279,0.4600217675195838,-0.25567750372952447
39.83,-1.3533406794385028,0.4146975337490361,0.41494414211256403,0.5078753035456156,-0.9611566789675435,0.13584210952370013,-0.8734158958330599,-0.25255835748935873,2.31449735840542,-0.5505396432725469,0.4584717537204777,-0.25531694605625344
39.84,-1.3490115980189878,0.4196475026761732,0.4509037541690294,0.4818349316722422,-0.9700627605261396,0.13344351172324334,-0.9078333325216588,-0.2268774786266407,2.319074358544501,-0.5530910143992273,0.45692957835261133,-0.2549574530455979
39.85,-1.3443219411260292,0.4243283215216524,0.4870622123251991,0.454020627179786,-0.9793140348838943,0.13131047421088216,-0.9424574261905837,-0.19942164756470923,2.323635976009297,-0.5556387957323452,0.4553952138653667,-0.25459897961507316
39.86,-1.3392696377758093,0.4287214757968326,0.5234353103242302,0.4242737102303543,-0.9889126509749955,0.12946152143494602,-0.9773039380363374,-0.1700322321085213,2.328182288750178,-0.5581829972315893,0.4538686277120893,-0.2542414781218294
39.87,-1.3338524824787807,0.4328067488242836,0.5600339228901632,0.3924117970592276,-0.9988608918875617,0.12791687954373734,-1.0123837049135498,-0.13852689859367387,2.332713374365716,-0.5607236283678315,0.4523497820233689,-0.2538848984655502
39.88,-1.3280681923888653,0.4365619644987313,0.5968623191912341,0.3582246157049636,-1.0091611176594808,0.1266987336005773,-1.0477009524457555,-0.10469542750459458,2.3372293100477193,-0.5632606980991192,0.45083863325450346,-0.2535291882003655
39.89,-1.321914484286369,0.4399626836514647,0.6339158605710001,0.32146888342876473,-1.0198156882368392,0.1258315311965398,-1.0832509923730111,-0.06829459077043953,2.3417301725225808,-0.5657942148478151,0.449335131801993,-0.25317429265832175
39.9,-1.3153891785643603,0.44298184355237785,0.6711778468013077,0.28186200453948496,-1.0308268594249093,0.12534234292688504,-1.1190170683850937,-0.029041849450579527,2.346216037988642,-0.5683241864790735,0.4478392215837681,-0.2528201550889022
39.910000000000004,-1.3084903404137833,0.44558932719749283,0.7086151759267354,0.23907427873724385,-1.0421966416359674,0.12526129308348521,-1.154966015503673,0.013392438082747982,2.350686982049123,-0.5708506202807886,0.44635083957691957,-0.2524667168199883
39.92,-1.3012164722430712,0.44775144562954255,0.7461723329317976,0.1927192199569537,-1.0539266073977498,0.12562207731594457,-1.1910422482382226,0.05939469749093909,2.355143079640193,-0.5733735229452976,0.4448699153064069,-0.2521139174478892
39.93,-1.2935667773814246,0.44943031191315314,0.783763000196904,0.1423414711086813,-1.066017627572885,0.12646258864022017,-1.2271593704743315,0.10942022395756816,2.3595844049536816,-0.5758929005531838,0.4433963702774096,-0.2517616950662458
