time,r12,r13,r23
63.22,0.548418554704266,8.056780950713815,8.588993449073543
63.230000000000004,0.5452332209945083,8.06268321693702,8.593115697466262
63.24,0.5414338917083048,8.068908247393423,8.596908074589466
63.25,0.5370123292409767,8.075461545007752,8.600365293691755
63.26,0.5319587363772561,8.082349493269708,8.60348118384275
63.27,0.5262616295130605,8.089579436414668,8.606248609800202
63.28,0.5199076838910137,8.097159776441556,8.608659374966074
63.29,0.5128815451047312,8.105100090573451,8.610704103812852
63.300000000000004,0.5051656002163561,8.113411273412378,8.612372099509411
63.31,0.49673969901818754,8.122105709747789,8.613651170761884
63.32,0.48758081423128197,8.131197485207583,8.614527420644752
63.33,0.47766262405497445,8.14070264521731,8.614984986909452
63.34,0.4669549967900828,8.150639515303528,8.615005720666973
63.35,0.4554233490751458,8.161029101000274,8.614568785092123
63.36,0.44302783853950806,8.171895592614362,8.613650148761517
63.370000000000005,0.4297223368817115,8.183267009918673,8.612221938364394
63.38,0.4154531063409854,8.195176037094377,8.610251600184403
63.39,0.4001570673979765,8.207661121663321,8.607700796190265
63.4,0.3837594921405182,8.220767947296272,8.604523924201969
63.410000000000004,0.36617086952553063,8.234551450310171,8.600666091297724
63.42,0.3472825446714692,8.249078649158482,8.596060269490083
63.43,0.32696048251111814,8.26443273196521,8.590623185796638
63.440000000000005,0.30503605288176583,8.28071916911171,8.584249174692559
63.45,0.28129186705983134,8.298075245635193,8.576800588830082
63.46,0.2554389324355393,8.316685717208887,8.5680920455608
63.47,0.2270775133185591,8.336810269080035,8.557862789277818
63.480000000000004,0.19562469990947182,8.358836002456684,8.54572384675032
63.49,0.16016617660890337,8.383390271829866,8.531044375789824
63.5,0.11911157529882538,8.4116279356788,8.512662182725585
63.51,0.06935765981776379,8.44615882447557,8.487947910722593
63.52,0.026504887619058927,8.484864165042444,8.45898876171423
63.53,0.08104849306466624,8.470008461955736,8.483859239091826
63.54,0.1285509960799392,8.45323545644368,8.510653750953407
63.550000000000004,0.16820838047913478,8.439132304680752,8.534742861178161
63.56,0.2027007383883649,8.427046096960291,8.556782670933924
63.57,0.23342478389996194,8.416518454858728,8.577235105656658
63.58,0.26120410864004767,8.407250762955906,8.59640156199507
63.59,0.28657326134335676,8.399038566830608,8.614488669559695
63.6,0.30990353055952485,8.391734905863833,8.631645134798383
63.61,0.3314659010884601,8.385229902955734,8.64798227351221
63.620000000000005,0.3514657034330916,8.379438795669335,8.663586061166594
63.63,0.370063128111525,8.374294537610018,8.67852458674353
63.64,0.3873860882586608,8.369743009984695,8.692852879678002
63.65,0.4035386651078819,8.365739799496124,8.706616159549169
63.660000000000004,0.41860686683871495,8.362247957640049,8.719852097060677
63.67,0.43266268114566286,8.359236398231854,8.73259243176248
63.68,0.4457670039559843,8.356678723572832,8.744864157584004
63.690000000000005,0.4579718046390435,8.354552346648628,8.75669040977378
63.7,0.46932175835823536,8.352837822867986,8.768091140411657
63.71,0.47985549772322095,8.351518333373463,8.779083640933257
63.72,0.4896065867831576,8.350579280130658,8.789682951796426
63.730000000000004,0.4986042886684687,8.350007964922497,8.799902187406767
63.74,0.506874177342529,8.34979333232503,8.809752796406286
63.75,0.5144386297477174,8.349925762204457,8.81924477192056
63.76,0.5213172248301681,8.350396901096358,8.828386822505536
63.77,0.5275270692065304,8.351199524481846,8.83718651185926
63.78,0.5330830641248554,8.352327423996961,8.845650373322412
63.79,0.5379981249844054,8.353775314982235,8.853784003809846
63.800000000000004,0.5422833620181545,8.355538760851045,8.861592140732927
63.81,0.5459482286489057,8.357614111609506,8.869078724609766
63.82,0.5490006427306937,8.359998454402838,8.87624694951406
63.83,0.551447084514146,8.36268957453168,8.883099302938017
63.84,0.5532926745819822,8.36568592563886,8.889637596386567
63.85,0.5545412338240494,8.368986608265123,8.895862987515725
63.86,0.5551953274164368,8.372591356033965,8.901775994567421
63.870000000000005,0.5552562938800008,8.376500529113796,8.907376503460172
63.88,0.5547242601906656,8.380715114666778,8.912663767834038
63.89,0.5535981431264987,8.385236734362179,8.917636401976624
63.9,0.5518756371403375,8.390067659004309,8.922292366584939
63.910000000000004,0.5495531881155008,8.395210830785837,8.926628946854324
63.92,0.5466259527662186,8.400669893505565,8.930642722557623
63.93,0.5430877419363223,8.406449231867777,8.934329528996848
63.940000000000005,0.5389309466827004,8.412554020710141,8.93768440797948
63.95,0.5341464446132133,8.418990285773035,8.94070154720342
63.96,0.5287234838683043,8.425764977734744,8.943374206320966
63.97,0.5226495406996532,8.432886062068706,8.94569462711827
63.980000000000004,0.5159101460854564,8.440362627661258,8.947653924860775
63.99,0.5084886747746148,8.448205018352532,8.949241956627452
64.0,0.5003660892082071,8.456424992261885,8.950447161751114
64.01,0.4915206270093387,8.465035916020112,8.951256367215134
64.02,0.4819274186735961,8.474053002501684,8.95165454937373
64.03,0.47155801675431586,8.483493604015523,8.951624539983788
64.04,0.46037981159481506,8.493377576994455,8.951146660432599
64.05,0.44835529967374776,8.503727740117244,8.95019826212135
64.06,0.4354411576923797,8.51457045634524,8.948753142369092
64.07000000000001,0.42158705587820283,8.525936382351636,8.946780792136124
64.08,0.4067341154169846,8.537861447998115,8.94424541257942
64.09,0.3908128700366708,8.550388158802734,8.941104606989622
64.1,0.37374052051400153,8.563567362890485,8.937307605825946
64.11,0.3554171548678187,8.577460703986656,8.932792802012376
64.12,0.3357204086582816,8.592144120494872,8.927484234321545
64.13,0.3144976891702978,8.607712999514101,8.921286406282531
64.14,0.2915544328521961,8.624290067509596,8.914076352111024
64.15,0.266635571765447,8.642038055943829,8.905690898163874
64.16,0.2393946370323245,8.661181273390614,8.895904960738882
64.17,0.20933855834239232,8.682045269764572,8.88439163070164
64.18,0.17571978345737146,8.705137648615457,8.870640821013113
64.19,0.13729933460900162,8.731338314442493,8.853767659944026
64.2,0.0917584818436612,8.762453296046989,8.831954275867654
64.21000000000001,0.0359481635754501,8.802867097591427,8.80077702153685
64.22,0.05751384590386723,8.809857759914312,8.80313692858797
64.23,0.10961847311518512,8.791901662495773,8.830585980487365
64.24,0.1521481695269719,8.776610755347294,8.855338782477865
64.25,0.18860360978578974,8.763561644074572,8.877817655869688
64.26,0.220797011205585,8.752219343089642,8.898560974537059
64.27,0.24974384686261789,8.742234705731331,8.91792075084053
64.28,0.27607965846095583,8.733373138778228,8.936133831075503
64.29,0.3002345869103095,8.725468933610042,8.95336772353796
64.3,0.32251661178917745,8.718399945393942,8.969746047134205
64.31,0.3431557022558573,8.712073017869171,8.985363194051446
64.32000000000001,0.3623292200954661,8.706415141408334,9.000293231135291
