time,theta_deg
41.800000000000004,17.587858490732106
41.81,18.238375331743267
41.82,18.001130225036515
41.83,16.66381784802982
41.84,14.53874715298229
41.85,12.208779118348165
41.86,10.096231388459866
41.87,8.356588898071655
41.88,6.9839501162562545
41.89,5.915471556499011
41.9,5.082599270482904
41.910000000000004,4.427849310983503
41.92,3.9072199847479863
41.93,3.4881633804990826
41.94,3.146836551633527
41.95,2.8657360687505653
41.96,2.6319140673831596
41.97,2.4356863283960126
41.980000000000004,2.2697262277780905
41.99,2.1284190693272267
42.0,2.007410759700727
42.01,1.9032836601847465
42.02,1.8133237129173978
42.03,1.7353533554485268
42.04,1.6676063979308695
42.050000000000004,1.6086376615130822
42.06,1.5572540430526391
42.07,1.5124640721841598
42.08,1.4734375394637378
42.09,1.439475739509453
42.1,1.4099894457748923
42.11,1.3844796442795186
42.12,1.362523510207092
42.13,1.3437639273634694
42.14,1.3278991796540747
42.15,1.3146791793791446
42.160000000000004,1.3038948441676577
42.17,1.2953784334562304
42.18,1.2889968762466473
42.19,1.2846500088152677
42.2,1.2822698957280776
42.21,1.2818157065531992
42.22,1.283276409978023
42.230000000000004,1.2866682016979156
42.24,1.2920333096730405
42.25,1.2994432465046681
42.26,1.3089981671821203
42.27,1.3208246315072694
42.28,1.3350833785738638
42.29,1.351966692471447
42.300000000000004,1.3717021605468218
42.31,1.3945595068373773
42.32,1.4208501797801707
42.33,1.4509361601177926
42.34,1.4852370031669875
42.35,1.5242367142884987
42.36,1.5684985392870021
42.37,1.6186742321259953
42.38,1.6755258266654565
42.39,1.7399444159935495
42.4,1.8129815542163785
42.410000000000004,1.8958813506794394
42.42,1.990128004789933
42.43,2.09750349246662
42.44,2.2201613288470967
42.45,2.3607225777795766
42.46,2.522400052932815
42.47,2.709156764894335
42.480000000000004,2.9259106588985158
42.49,3.1787982386477034
42.5,3.4755002351252933
42.51,3.825648233853783
42.52,4.241286932559284
42.53,4.737349838067756
42.54,5.332020265321756
42.550000000000004,6.0466400260814
42.56,6.90457632984357
42.57,7.927939916539626
42.58,9.130688840647807
42.59,10.507166192555882
42.6,12.018433970545514
42.61,13.586116434616553
42.62,15.10805614858769
42.63,16.488720034357833
42.64,17.618298308392056
42.65,18.247459696509633
42.660000000000004,17.969119238450745
42.67,16.588599792359243
42.68,14.44080613246314
42.69,12.111386946719557
42.7,10.011934590539209
42.71,8.288322718754888
42.72,6.9301312035071
42.730000000000004,5.873299836856929
42.74,5.049413203892754
42.75,4.401496880814082
