time,E12,E13,E23
37.660000000000004,-1.5815392818051608,2.387559829845495,-0.8369754011692461
37.67,-1.5766145342070432,2.2713785186752173,-0.8394113173045434
37.68,-1.571474459429855,2.15987526001896,-0.8327561823318447
37.69,-1.5662492420076388,2.0534625547142715,-0.8197060132789145
37.7,-1.561038096427538,1.9521986400427092,-0.8021340338721012
37.71,-1.555916070113338,1.8559511923927978,-0.7813582192746633
37.72,-1.5509393620234606,1.764490481556301,-0.7583163084986875
37.730000000000004,-1.5461494540384784,1.6775424534681806,-0.7336818803038592
37.74,-1.5415763064050771,1.5948188078319148,-0.7079424697220571
37.75,-1.5372408432538913,1.5160337390304974,-0.68145290236218
37.76,-1.5331568856427742,1.4409129055601952,-0.6544722193603909
37.77,-1.529332668633646,1.3691978605776,-0.6271895789358332
37.78,-1.525772033499415,1.300647847942844,-0.5997426498599112
37.79,-1.5224753701786238,1.2350400914817854,-0.5722308221568564
37.800000000000004,-1.5194403692485248,1.1721692470986669,-0.5447247941058164
37.81,-1.5166626194361248,1.1118464201090181,-0.5172735960331962
37.82,-1.5141360865229174,1.0538979838803417,-0.48990977991879847
37.83,-1.511853500551966,0.9981643373971174,-0.462653282464812
37.84,-1.5098066649381314,0.9444986828195858,-0.43551431973947546
37.85,-1.5079867080268867,0.8927658640494001,-0.4084955675027975
37.86,-1.5063842835820807,0.8428412892143897,-0.3815938104706637
37.87,-1.5049897365377065,0.794609942656454,-0.3548011926715211
37.88,-1.5037932323674041,0.7479654901337119,-0.32810616643901025
37.89,-1.5027848641230863,0.7028094709532126,-0.3014942110671678
37.9,-1.5019547354066627,0.6590505733432152,-0.2749483744191714
37.910000000000004,-1.50129302933387,0.6166039843784383,-0.2484496768382619
37.92,-1.5007900600585484,0.5753908095602032,-0.22197740714549907
37.93,-1.5004363143790425,0.5353375540314017,-0.19550933295102935
37.94,-1.5002224829261166,0.49637565991053567,-0.16902184202026582
37.95,-1.5001394826803702,0.45844109419236045,-0.14249002728943094
37.96,-1.500178475046221,0.4214739815599481,-0.11588772496348343
37.97,-1.500330875300096,0.3854182790958426,-0.0891875124218986
37.980000000000004,-1.5005883597816376,0.3502214880546859,-0.06236067108033183
37.99,-1.5009428683185986,0.31583440035319454,-0.03537711737937832
38.0,-1.501386602766179,0.2822108773149655,-0.008205303914583295
38.01,-1.5019120250088933,0.24930765842512104,0.01918790801474113
38.02,-1.5025118509595645,0.2170841995170184,0.046837404932322024
38.03,-1.5031790422416482,0.18550253956808394,0.07478000780014826
38.04,-1.503906799340673,0.15452719608771248,0.10305468943069018
38.050000000000004,-1.504688550826717,0.12412509032171881,0.13170282706201875
38.06,-1.505517939367062,0.09426550395563349,0.1607684935913971
38.07,-1.506388810696993,0.06492006995425892,0.19029879029146035
38.08,-1.5072952061755749,0.036062801863772975,0.22034422659148722
38.09,-1.5082313415804287,0.00767016700375589,0.25095915926737156
38.1,-1.5091915955211628,-0.020278788730138053,0.2822022925314993
